"review_id","sentence_id","sentence_text","sentence_sentiment","sentence_category","sentence_category_group","sentence_topic","entities"
"d835e7df4242cc31086265ea0575359e","fcb76635db17fca5e5b53ada81cb3b0d","After ordering it, it took them about an hour and 8 minutes to get our food even though it was lonely.","Negative","Experience","Ordering","Speed of Service","[""food""]"
"9c3007d9035ffa5de6361225d4cc260d","c609ca401ada9d44163d780455a343bf","Our server, Katia, was FANTASTIC.","Positive","People","Team","Hospitality","[""Katia""]"
"edd01dd8c20236e200be20574eab2b78","84b5e94eee1fac0375d4abe4091e8a88","The 55+ Breakfast Sampler is sooo good.","Positive","Food","Quality","Taste","[""55+ Breakfast Sampler""]"
"49d2f297089131cff272b896409ab233","a7b8f42ecbe5b258519f0f433288dc36","And I saw people getting served before us.","Negative","People","Team","Hospitality","[""people""]"
"b40a3e2c0226438bbcd5b46cec9ba674","c6794a65d8185494d3b60e86b3dbdd20","Also these table and seating area isn't well cleaned.","Negative","Experience","Cleanliness","Dining Room","[]"
"9c3007d9035ffa5de6361225d4cc260d","9bca9c8098064f65637ccfbdc5b45c55","Had a phenomenal time at the Drag Brunch this past Sunday!","Positive","Experience","Loyalty","Loyalty","[]"
"3a7f4c4b1198b8b83df8f86837cb68c6","7eab10f099a349e04c0d175e2665bdff","I rather go to subway next door.","Negative","Experience","Loyalty","Loyalty","[""Subway"",""next door""]"
"b63265d2c5ae0ecf115c40aa83fc2ffb","23bebf693603817b10e697464f3f7b70","very it just One particular person seem like they're having a bad day.","Negative","People","Team","Hospitality","[]"
"d3187b851204068fdd7c615055410d92","85d850825f17d1a23323d1ef9cba3d68","Very bad service overall.","Negative","Experience","Ordering","Speed of Service","[]"
"49d2f297089131cff272b896409ab233","c23caa804ab54d78d18ffd191ba9a093","Just asking when we were gonna be were trying to be nice about it, but seem like they didn't give a darn.","Negative","People","Team","Hospitality","[]"
"456020774d3b0f2f50c9241b25033e16","53f2712f41276ba5b6377005fc2ff7db","I politely refused to take it back and will never come here again!","Negative","Experience","Loyalty","Loyalty","[]"
"55e697bf71c4c3ee365e7c0e9a945cb1","f8b8d3992c92df021384b1145f3b9031","At least complain about the food quality or how long you had to tend to your outhouse that night, not waste people’s time explaining to people how indecisive you are because you fear change and lack the patience to read the full menu.","Negative","Experience","Inquiries","Inquiries","[""food quality""]"
"9c3007d9035ffa5de6361225d4cc260d","d64976f46609a83ccd69a12d173c3809","My friend loved her Crepas Mexicanas.","Positive","Food","Quality","Taste","[""Crepas Mexicanas""]"
"df4f7242bd064716000e0eb91fa88fd5","e163ac5db7db7c5109e49ffac7b62b8a","and the Drinks are Super Good!","Positive","Food","Quality","Taste","[""Drinks""]"
"b63265d2c5ae0ecf115c40aa83fc2ffb","4d44a0e0f92760b79ecaf6606db42baa","The service it's good.","Positive","People","Team","Hospitality","[]"
"d835e7df4242cc31086265ea0575359e","c8cd6dc446faecd0178e7640678e060d","The mac and cheese with fries (kids menu item) had light flavor and pasta was still a tiny bit undercooked.","Negative","Food","Quality","Taste","[""mac and cheese"",""fries"",""pasta""]"
"9c3007d9035ffa5de6361225d4cc260d","85e7fdb35220861986f462552b76b9e1","I didn't love the Cazuela Calabacitas (a frittata)--it lacked seasoning.","Negative","Food","Quality","Taste","[""Cazuela Calabacitas""]"
"b40a3e2c0226438bbcd5b46cec9ba674","f03f898838b0c49d468bbe5280032e26","Just not as good as before!","Negative","Food","Quality","Taste","[]"
"55e697bf71c4c3ee365e7c0e9a945cb1","6c228cb5f1e28b9e84647a735e61e89f","For the same price at the same restaurant you could have purchased a huge bowl with an amazing salad+rice+meat+hummus.","Positive","Food","Menu","Comments","[""salad"",""rice"",""meat"",""hummus""]"
"55e697bf71c4c3ee365e7c0e9a945cb1","f7450793f2c26d342b5f2baeafa99a76","I saw other people saying they didn’t like what was on the TV there or the music at the restaurant, perhaps you guys should invest in some headphones?","Negative","Experience","Amenities","Amenities","[""TV"",""music""]"
"49d2f297089131cff272b896409ab233","231c1529349617c625bb35fc4acdc02e","Never went back never went back and don't plan on it.","Negative","Experience","Loyalty","Loyalty","[]"
